iter	Logloss
0	0.6816295379
1	0.6705343729
2	0.6597834699
3	0.6492237841
4	0.6397268231
5	0.6304145248
6	0.620632879
7	0.6111323557
8	0.6003877912
9	0.5893027823
10	0.5796399196
11	0.5697564561
12	0.5613183194
13	0.5524600869
14	0.5458152614
15	0.5368776389
16	0.529190292
17	0.5234303368
18	0.5139646423
19	0.5060975364
20	0.4990630215
21	0.4927160892
22	0.4876839081
23	0.4814433579
24	0.4745942199
25	0.4676472624
26	0.4617258954
27	0.455164986
28	0.4501162619
29	0.4453258581
30	0.441009363
31	0.4352607577
32	0.4309570641
33	0.4258040251
34	0.4207529946
35	0.4170732108
36	0.4125012769
37	0.4086496462
38	0.4037005982
39	0.3996651276
40	0.3957459588
41	0.3917447396
42	0.3868595396
43	0.383649427
44	0.3791312459
45	0.3761954601
46	0.3720493994
47	0.3691228738
48	0.3656981437
49	0.362950823
50	0.3597975951
51	0.3571425821
52	0.3546260665
53	0.3513221037
54	0.3484003049
55	0.3453868639
56	0.3425490311
57	0.3399555886
58	0.3373705439
59	0.3353578122
60	0.3328746732
61	0.330276382
62	0.3282350455
63	0.3251002161
64	0.3225922597
65	0.3193658162
66	0.317468433
67	0.315330329
68	0.3131180301
69	0.3114298299
70	0.3096994004
71	0.307051815
72	0.3053732007
73	0.3035532328
74	0.3017225967
75	0.3004229244
76	0.2977686784
77	0.2963003481
78	0.294171517
79	0.2928146106
80	0.2909127769
81	0.2895419547
82	0.2881627786
83	0.2863841276
84	0.2847665237
85	0.2831751206
86	0.2816459031
87	0.2804069876
88	0.2790411658
89	0.2778107453
90	0.2765486601
91	0.2754755212
92	0.2743217213
93	0.2726729522
94	0.2711592727
95	0.2698510099
96	0.268590925
97	0.2672571134
98	0.2662904288
99	0.2650504473
100	0.263977086
101	0.2627525125
102	0.2617717855
103	0.2603487098
104	0.2589043982
105	0.2579482731
106	0.2566834216
107	0.2552758362
108	0.254584711
109	0.2534650099
110	0.2521914941
111	0.2513856468
112	0.250379059
113	0.2496047691
114	0.2487529097
115	0.2473342557
116	0.2462864381
117	0.2453458394
118	0.2445109617
119	0.2434116785
120	0.2422862694
121	0.2415484322
122	0.2405931784
123	0.2398120944
124	0.2391087842
125	0.2381511046
126	0.237572049
127	0.2369984583
128	0.2363784915
129	0.2354051792
130	0.2343021469
131	0.2336289379
132	0.2330588412
133	0.2325331817
134	0.2314957852
135	0.2303689195
136	0.2295487533
137	0.2288159487
138	0.228204221
139	0.2274178735
140	0.2268146632
141	0.2257541392
142	0.2250785742
143	0.2241079945
144	0.2230598781
145	0.2223744799
146	0.2215953353
147	0.2209191259
148	0.2203586831
149	0.2197787434
150	0.2190343277
151	0.2185469825
152	0.217846644
153	0.2171971748
154	0.2167468469
155	0.2162918511
156	0.2158618462
157	0.2150496648
158	0.2144706218
159	0.2140240324
160	0.2133292594
161	0.2124726277
162	0.2120100445
163	0.2117361232
164	0.2110648095
165	0.2105208737
166	0.2100115471
167	0.2096457881
168	0.2091138737
169	0.2088586589
170	0.2083798587
171	0.2077364316
172	0.2073479515
173	0.2069266841
174	0.2064587533
175	0.2059570945
176	0.2055333966
177	0.2049391875
178	0.2039916339
179	0.2035854846
180	0.2031698795
181	0.2027410461
182	0.2024134957
183	0.2020452184
184	0.2013663626
185	0.2010922986
186	0.2005651699
187	0.2003263182
188	0.1998529717
189	0.1995254836
190	0.1992084126
191	0.1989347463
192	0.1985551705
193	0.198176466
194	0.1976559685
195	0.1972099625
196	0.1968200111
197	0.1961869353
198	0.1957439913
199	0.195414232
200	0.1947816168
201	0.1941401355
202	0.1938386348
203	0.1934344815
204	0.1932256918
205	0.192990519
206	0.1927548127
207	0.1924462818
208	0.1920030134
209	0.1916905314
210	0.1915177165
211	0.1912025007
212	0.1906043286
213	0.1901158472
214	0.1894964213
215	0.1891991259
216	0.1888419921
217	0.1884695566
218	0.1881441694
219	0.1874836316
220	0.1870929495
221	0.1868048261
222	0.1863322035
223	0.1858569517
224	0.185529662
225	0.1850982433
226	0.1848159903
227	0.1843532274
228	0.1837486286
229	0.1833575228
230	0.1830273023
231	0.1825886443
232	0.1822429449
233	0.1820998384
234	0.1816150032
235	0.1812998038
236	0.1808557961
237	0.180547871
238	0.18036221
239	0.1799164949
240	0.1794579115
241	0.1791072173
242	0.1786843849
243	0.1783679496
244	0.1778960916
245	0.1774505984
246	0.1771239931
247	0.1769255609
248	0.1765526602
249	0.1763202163
250	0.1759212075
251	0.1755962423
252	0.1753231515
253	0.1751955883
254	0.1749298837
255	0.1747898105
256	0.1743893903
257	0.1739728808
258	0.1736109234
259	0.1732989493
260	0.1728719927
261	0.1725632848
262	0.1722878513
263	0.1719194366
264	0.1716936614
265	0.1714554113
266	0.1710090618
267	0.170765678
268	0.1704759131
269	0.170222785
270	0.1698983064
271	0.1695757144
272	0.1691573577
273	0.1690403444
274	0.1687983588
275	0.1686333447
276	0.1684839461
277	0.1681383634
278	0.1677332767
279	0.1670811286
280	0.1668319205
281	0.1664091323
282	0.1662364565
283	0.1658643433
284	0.1656484034
285	0.1653814199
286	0.1650034477
287	0.1647712244
288	0.1642816549
289	0.164012271
290	0.1638603591
291	0.1636864967
292	0.1633536704
293	0.1630863553
294	0.1628914485
295	0.162415354
296	0.1619938545
297	0.1615106929
298	0.1612704771
299	0.1607811821
300	0.1604158985
301	0.1600278431
302	0.1598372725
303	0.159630024
304	0.1593301013
305	0.1591165942
306	0.1588682466
307	0.1586228299
308	0.1585345186
309	0.1583443148
310	0.1581245072
311	0.1576285198
312	0.157207958
313	0.1569744964
314	0.1566937498
315	0.1563835751
316	0.1560956301
317	0.1558876494
318	0.1556222818
319	0.1554567109
320	0.1552068976
321	0.1548302983
322	0.1545204665
323	0.1541486479
324	0.1537781789
325	0.1534601242
326	0.1531139713
327	0.152901262
328	0.1526004767
329	0.1523828848
330	0.1520419001
331	0.151705899
332	0.1514912027
333	0.1512316097
334	0.1509525508
335	0.1506357037
336	0.1504711938
337	0.1501003315
338	0.1497570288
339	0.1493446244
340	0.1491764166
341	0.1489957593
342	0.1488242964
343	0.1485064102
344	0.1481663421
345	0.147914388
346	0.1478044352
347	0.1476268902
348	0.1473887572
349	0.1471916192
350	0.1469911143
351	0.146804341
352	0.1466042158
353	0.1462314132
354	0.1459519278
355	0.1457975665
356	0.1455908379
357	0.1454734454
358	0.1452994474
359	0.1451082355
360	0.1448447879
361	0.1445451551
362	0.1441751206
363	0.1439535997
364	0.14381021
365	0.143599437
366	0.1434044114
367	0.1432600942
368	0.1429873686
369	0.1427664307
370	0.142471467
371	0.1422966854
372	0.1420813187
373	0.1418391862
374	0.1415891656
375	0.1414065526
376	0.1411117411
377	0.1408533758
378	0.140586311
379	0.1403416606
380	0.1402897504
381	0.1401348174
382	0.1398866611
383	0.1397041858
384	0.1395631984
385	0.1393121541
386	0.1389007198
387	0.138716457
388	0.1383850936
389	0.1381032777
390	0.1379030072
391	0.137736533
392	0.137485488
393	0.1373523916
394	0.1370763292
395	0.1367946098
396	0.1366222433
397	0.1365509668
398	0.1364237507
399	0.1362962966
400	0.1360048954
401	0.1358638
402	0.1356364465
403	0.1354448883
404	0.1352732113
405	0.1349942291
406	0.1348004187
407	0.1346117311
408	0.1343457881
409	0.1341458221
410	0.1338433933
411	0.1336545344
412	0.1334343799
413	0.1331631726
414	0.1330869625
415	0.132829862
416	0.1326094706
417	0.1324685958
418	0.132297296
419	0.1321720396
420	0.1319182221
421	0.1316635646
422	0.1313948856
423	0.1311599857
424	0.1310509814
425	0.1308976451
426	0.1306845262
427	0.1305936952
428	0.1304727089
429	0.1303557351
430	0.1302430431
431	0.1300444389
432	0.1298082628
433	0.1297616048
434	0.1296496817
435	0.1294348765
436	0.1292116438
437	0.1290556664
438	0.1289899891
439	0.1287698684
440	0.128464723
441	0.1282265574
442	0.128065437
443	0.1279736625
444	0.1277872911
445	0.1276244019
446	0.1275114708
447	0.1272455077
448	0.1270332647
449	0.1267840946
450	0.1265284181
451	0.1263438424
452	0.126162036
453	0.1259986363
454	0.1259271697
455	0.1256679381
456	0.1254531152
457	0.1252646722
458	0.1251098209
459	0.1250596149
460	0.1248996891
461	0.124718111
462	0.124574365
463	0.1243812655
464	0.1240769915
465	0.1239177488
466	0.1237814509
467	0.1236411575
468	0.123515557
469	0.123395491
470	0.1231796544
471	0.1230227966
472	0.1228452916
473	0.1226253425
474	0.1224758863
475	0.1222407825
476	0.1219980044
477	0.1217740424
478	0.1215365264
479	0.12141733
480	0.1213014652
481	0.121129207
482	0.1209220224
483	0.1208120111
484	0.1206890454
485	0.1205496905
486	0.1204332022
487	0.1202412981
488	0.120100462
489	0.1199882476
490	0.1198156165
491	0.1196324064
492	0.119428465
493	0.1192255571
494	0.1191118489
495	0.1190253494
496	0.1188360523
497	0.1186833258
498	0.1185180031
499	0.1183923649
500	0.1183207385
501	0.1180871789
